te_date,te_time,te_open,te_high,te_close,te_low,te_volume,predict
2021-01-11,11:30:00,15434.0,15443.0,15458.0,15423.0,3327.0,0
2021-01-11,11:45:00,15443.0,15444.0,15448.0,15418.0,3972.0,0
2021-01-11,12:00:00,15446.0,15450.0,15454.0,15435.0,2270.0,0
2021-01-11,12:15:00,15449.0,15408.0,15453.0,15407.0,4348.0,1
2021-01-11,12:30:00,15409.0,15421.0,15428.0,15389.0,6166.0,1
2021-01-11,12:45:00,15420.0,15423.0,15433.0,15402.0,3841.0,0
2021-01-11,13:00:00,15423.0,15477.0,15479.0,15421.0,7117.0,0
2021-01-11,13:15:00,15478.0,15535.0,15537.0,15476.0,11363.0,0
2021-01-11,13:30:00,15535.0,15528.0,15538.0,15518.0,6337.0,0
2021-01-11,13:45:00,15526.0,15534.0,15537.0,15525.0,916.0,0
2021-01-11,15:00:00,15518.0,15539.0,15555.0,15514.0,3482.0,0
2021-01-11,15:15:00,15539.0,15550.0,15553.0,15536.0,1000.0,0
2021-01-11,15:30:00,15550.0,15533.0,15552.0,15521.0,1054.0,0
2021-01-11,15:45:00,15533.0,15542.0,15548.0,15533.0,546.0,0
2021-01-11,16:00:00,15540.0,15556.0,15560.0,15537.0,1508.0,0
2021-01-11,16:15:00,15556.0,15545.0,15556.0,15540.0,719.0,0
2021-01-11,16:30:00,15545.0,15541.0,15549.0,15529.0,851.0,0
2021-01-11,16:45:00,15541.0,15542.0,15544.0,15533.0,483.0,0
2021-01-11,17:00:00,15542.0,15539.0,15549.0,15536.0,698.0,0
2021-01-11,17:15:00,15540.0,15532.0,15542.0,15531.0,578.0,0
2021-01-11,17:30:00,15533.0,15535.0,15538.0,15528.0,469.0,0
2021-01-11,17:45:00,15534.0,15532.0,15537.0,15528.0,351.0,0
2021-01-11,18:00:00,15532.0,15537.0,15539.0,15524.0,535.0,0
2021-01-11,18:15:00,15537.0,15539.0,15539.0,15534.0,196.0,0
2021-01-11,18:30:00,15539.0,15538.0,15545.0,15536.0,306.0,0
2021-01-11,18:45:00,15539.0,15540.0,15544.0,15538.0,127.0,0
2021-01-11,19:00:00,15541.0,15535.0,15542.0,15534.0,143.0,0
2021-01-11,19:15:00,15535.0,15538.0,15539.0,15533.0,182.0,0
2021-01-11,19:30:00,15538.0,15540.0,15542.0,15535.0,175.0,0
2021-01-11,19:45:00,15540.0,15537.0,15540.0,15536.0,156.0,0
2021-01-11,20:00:00,15536.0,15531.0,15538.0,15529.0,399.0,0
2021-01-11,20:15:00,15531.0,15532.0,15532.0,15516.0,953.0,0
2021-01-11,20:30:00,15532.0,15527.0,15533.0,15526.0,321.0,0
2021-01-11,20:45:00,15528.0,15529.0,15530.0,15520.0,356.0,0
2021-01-11,21:00:00,15529.0,15524.0,15529.0,15510.0,819.0,0
2021-01-11,21:15:00,15525.0,15509.0,15525.0,15502.0,1245.0,0
2021-01-11,21:30:00,15509.0,15498.0,15509.0,15480.0,2766.0,0
2021-01-11,21:45:00,15498.0,15478.0,15502.0,15475.0,1503.0,0
2021-01-11,22:00:00,15478.0,15488.0,15497.0,15476.0,1043.0,0
2021-01-11,22:15:00,15487.0,15480.0,15487.0,15453.0,2857.0,0
2021-01-11,22:30:00,15480.0,15493.0,15507.0,15466.0,3131.0,0
2021-01-11,22:45:00,15491.0,15513.0,15516.0,15480.0,2098.0,0
2021-01-11,23:00:00,15513.0,15523.0,15530.0,15508.0,1993.0,0
2021-01-11,23:15:00,15523.0,15538.0,15539.0,15517.0,1690.0,0
2021-01-11,23:30:00,15538.0,15527.0,15540.0,15525.0,1079.0,0
2021-01-11,23:45:00,15527.0,15530.0,15530.0,15509.0,1246.0,1
2021-01-12,00:00:00,15530.0,15514.0,15533.0,15503.0,843.0,0
2021-01-12,00:15:00,15515.0,15529.0,15532.0,15511.0,660.0,0
2021-01-12,00:30:00,15530.0,15525.0,15533.0,15524.0,380.0,0
2021-01-12,00:45:00,15526.0,15529.0,15532.0,15519.0,380.0,0
2021-01-12,01:00:00,15528.0,15523.0,15536.0,15523.0,372.0,0
2021-01-12,01:15:00,15525.0,15528.0,15530.0,15524.0,194.0,0
2021-01-12,01:30:00,15528.0,15536.0,15537.0,15527.0,437.0,0
2021-01-12,01:45:00,15535.0,15536.0,15547.0,15533.0,792.0,0
2021-01-12,02:00:00,15537.0,15545.0,15550.0,15535.0,438.0,0
2021-01-12,02:15:00,15547.0,15532.0,15554.0,15528.0,433.0,0
2021-01-12,02:30:00,15532.0,15534.0,15536.0,15527.0,176.0,0
2021-01-12,02:45:00,15533.0,15534.0,15538.0,15525.0,172.0,0
2021-01-12,03:00:00,15535.0,15538.0,15540.0,15525.0,224.0,0
2021-01-12,03:15:00,15537.0,15531.0,15538.0,15527.0,149.0,0
2021-01-12,03:30:00,15531.0,15529.0,15533.0,15523.0,101.0,0
2021-01-12,03:45:00,15530.0,15534.0,15535.0,15524.0,221.0,0
2021-01-12,04:00:00,15534.0,15514.0,15534.0,15506.0,537.0,0
